m,n,q,M0,M1
2048,8,2,5027,4974
2048,8,3,3505,6657
2048,8,5,7138,4811
2048,8,7,6970,8071
2048,8,11,9124,9483
2048,8,13,9844,9497
2048,8,17,9975,9902
2048,8,19,9984,9987
2048,8,23,9999,9998
2048,8,29,10000,10000
2048,8,31,10000,10000
2048,8,37,10000,10000
2048,8,41,10000,10000
2048,8,43,10000,10000
2048,8,47,10000,10000
2048,8,53,10000,10000
2048,8,59,10000,10000
2048,8,61,10000,10000
2048,8,67,10000,10000
2048,8,71,10000,10000
2048,8,73,10000,10000
2048,8,79,10000,10000
2048,8,83,10000,10000
2048,8,89,10000,10000
2048,8,97,10000,10000
2048,8,101,10000,10000
2048,8,103,10000,10000
