m,n,q,M0,M1
4,256,2,5005,4908
4,256,3,3391,6651
4,256,5,6092,4000
4,256,7,4191,5644
4,256,11,4495,5527
4,256,13,5362,4673
4,256,17,5336,4753
4,256,19,4932,5423
4,256,23,5289,5740
4,256,29,6388,6124
4,256,31,6367,6688
4,256,37,7404,7239
4,256,41,8007,7698
4,256,43,7862,8117
4,256,47,8321,8500
4,256,53,8945,8831
4,256,59,9209,9328
4,256,61,9366,9297
4,256,67,9534,9574
4,256,71,9637,9720
4,256,73,9756,9707
4,256,79,9807,9853
4,256,83,9873,9883
4,256,89,9940,9915
4,256,97,9968,9960
4,256,101,9977,9975
4,256,103,9981,9984
4,256,107,9989,9988
4,256,109,9991,9975
4,256,113,9995,9994
4,256,127,9999,9998
4,256,131,10000,9999
4,256,137,10000,10000
4,256,139,9999,9999
4,256,149,10000,10000
4,256,151,10000,10000
4,256,157,10000,10000
