m,n,q,M0,M1
4,8,23,9998,9997
4,9,23,9999,9999
4,10,23,9999,10000
4,11,23,10000,9999
4,12,23,9978,9982
4,13,23,9977,9992
4,14,23,9981,9990
4,15,23,9986,9985
4,16,23,9939,9961
4,17,23,9919,9950
4,18,23,9925,9960
4,19,23,9922,9967
4,20,23,9818,9902
4,21,23,9817,9895
4,22,23,9822,9901
4,23,23,9832,9879
4,24,23,9699,9810
4,25,23,9691,9791
4,26,23,9687,9805
4,27,23,9724,9786
4,28,23,9565,9691
4,29,23,9544,9704
4,30,23,9556,9692
4,31,23,9539,9658
4,32,23,9424,9555
4,33,23,9411,9585
4,34,23,9429,9552
4,35,23,9398,9549
4,36,23,9207,9430
4,37,23,9233,9474
4,38,23,9283,9421
4,39,23,9218,9440
4,40,23,9046,9284
4,41,23,9036,9307
4,42,23,9117,9244
4,43,23,9046,9261
4,44,23,8963,9176
4,45,23,8865,9142
4,46,23,8914,9179
4,47,23,8932,9118
4,48,23,8821,8970
4,49,23,8757,9008
4,50,23,8787,8995
4,51,23,8800,9013
4,52,23,8586,8943
4,53,23,8595,8903
4,54,23,8570,8917
4,55,23,8530,8829
4,56,23,8369,8719
4,57,23,8427,8739
4,58,23,8464,8751
4,59,23,8394,8753
4,60,23,8255,8622
4,61,23,8219,8658
4,62,23,8286,8657
4,63,23,8281,8635
4,64,23,8158,8491
4,65,23,8124,8516
4,66,23,8117,8475
4,67,23,8142,8518
4,68,23,7969,8353
4,69,23,8029,8420
4,70,23,8003,8341
4,71,23,8033,8384
4,72,23,7862,8237
4,73,23,7860,8249
4,74,23,7869,8209
4,75,23,7868,8263
4,76,23,7782,8136
4,77,23,7697,8183
4,78,23,7745,8106
4,79,23,7752,8072
4,80,23,7602,8055
4,81,23,7661,8010
4,82,23,7598,7972
4,83,23,7640,7991
4,84,23,7460,7933
4,85,23,7464,7927
4,86,23,7465,7920
4,87,23,7511,7948
4,88,23,7493,7804
4,89,23,7421,7809
4,90,23,7390,7843
4,91,23,7466,7806
4,92,23,7243,7753
4,93,23,7322,7658
4,94,23,7326,7723
4,95,23,7388,7710
4,96,23,7187,7591
4,97,23,7234,7564
4,98,23,7182,7695
4,99,23,7137,7666
4,100,23,7028,7610
4,101,23,7147,7485
4,102,23,7146,7434
4,103,23,7114,7405
4,104,23,7047,7460
4,105,23,6972,7448
4,106,23,7046,7412
4,107,23,6976,7423
4,108,23,6870,7386
4,109,23,6971,7329
4,110,23,6859,7304
4,111,23,6941,7250
4,112,23,6892,7352
4,113,23,6886,7167
4,114,23,6881,7218
4,115,23,6827,7295
4,116,23,6791,7125
4,117,23,6747,7170
4,118,23,6806,7212
4,119,23,6840,7108
4,120,23,6690,7096
4,121,23,6693,7145
4,122,23,6740,7020
4,123,23,6663,7065
4,124,23,6525,6952
4,125,23,6513,7031
4,126,23,6665,6982
4,127,23,6650,7132
4,128,23,6515,6944
4,129,23,6548,7025
4,130,23,6526,6976
4,131,23,6543,6941
4,132,23,6474,6885
4,133,23,6441,6858
4,134,23,6400,6890
4,135,23,6474,6928
4,136,23,6472,6814
4,137,23,6443,6817
4,138,23,6462,6760
4,139,23,6467,6857
4,140,23,6421,6755
4,141,23,6411,6728
4,142,23,6354,6750
4,143,23,6395,6748
4,144,23,6237,6666
4,145,23,6220,6738
4,146,23,6189,6733
4,147,23,6260,6686
4,148,23,6222,6670
4,149,23,6228,6639
4,150,23,6217,6627
4,151,23,6312,6683
4,152,23,6110,6591
4,153,23,6203,6631
4,154,23,6152,6574
4,155,23,6144,6579
4,156,23,6051,6444
4,157,23,6032,6543
4,158,23,6113,6491
4,159,23,6149,6449
4,160,23,6065,6497
4,161,23,6003,6555
4,162,23,6041,6472
4,163,23,6068,6479
4,164,23,5948,6399
4,165,23,5933,6449
4,166,23,5964,6356
4,167,23,6002,6447
4,168,23,5879,6362
4,169,23,6005,6349
4,170,23,6018,6423
4,171,23,5983,6418
4,172,23,5925,6264
4,173,23,5942,6249
4,174,23,5885,6391
4,175,23,5852,6288
4,176,23,5857,6371
4,177,23,5830,6261
4,178,23,5825,6320
4,179,23,5812,6290
4,180,23,5832,6133
4,181,23,5796,6287
4,182,23,5740,6214
4,183,23,5891,6203
4,184,23,5734,6192
4,185,23,5844,6151
4,186,23,5747,6324
4,187,23,5769,6204
4,188,23,5682,6189
4,189,23,5789,6174
4,190,23,5676,6166
4,191,23,5674,6198
4,192,23,5718,6120
4,193,23,5590,6110
4,194,23,5785,6129
4,195,23,5749,6124
4,196,23,5641,6065
4,197,23,5570,6155
4,198,23,5666,6094
4,199,23,5647,6144
4,200,23,5529,6037
4,201,23,5685,6101
4,202,23,5668,5942
4,203,23,5497,6066
4,204,23,5472,5973
4,205,23,5593,6070
4,206,23,5570,5998
4,207,23,5569,6020
4,208,23,5662,5993
4,209,23,5581,5925
4,210,23,5523,6022
4,211,23,5593,5969
4,212,23,5572,6015
4,213,23,5603,5863
4,214,23,5533,5966
4,215,23,5462,5933
4,216,23,5585,6034
4,217,23,5533,5978
4,218,23,5507,5959
4,219,23,5521,5863
4,220,23,5455,5890
4,221,23,5454,5938
4,222,23,5529,5904
4,223,23,5353,5996
4,224,23,5410,5798
4,225,23,5462,5865
4,226,23,5487,5801
4,227,23,5556,5833
4,228,23,5448,5800
4,229,23,5463,5950
4,230,23,5370,5850
4,231,23,5367,5813
4,232,23,5274,5823
4,233,23,5415,5778
4,234,23,5327,5780
4,235,23,5455,5760
4,236,23,5473,5806
4,237,23,5357,5773
4,238,23,5449,5827
4,239,23,5380,5772
4,240,23,5299,5737
4,241,23,5343,5833
