m,n,q,M0,M1
4,10,23,10000,10000
4,20,23,9833,9886
4,30,23,9568,9658
4,50,23,8681,8990
4,40,23,9045,9274
4,80,23,7644,8019
4,70,23,8021,8414
4,60,23,8349,8579
4,90,23,7344,7770
4,100,23,7127,7512
4,200,23,5552,6112
4,300,23,5139,5534
4,400,23,4903,5334
4,500,23,4830,5339
4,600,23,4902,5270
4,700,23,4823,5293
4,800,23,4871,5289
4,900,23,4780,5224
4,1000,23,4749,5252
4,2000,23,4739,5213
4,3000,23,4782,5262
4,4000,23,4769,5243
4,5000,23,4809,5204
4,6000,23,4839,5229
4,7000,23,4755,5273
4,8000,23,4807,5247
4,9000,23,4861,5173
4,10000,23,4788,5211
