m,n,q,M0,M1
4,10,23,9999,9999
4,20,23,9820,9883
4,30,23,9555,9729
4,40,23,9113,9284
4,50,23,8791,9000
4,60,23,8337,8622
4,70,23,8105,8406
4,80,23,7678,8035
4,90,23,7507,7791
4,100,23,7068,7506
4,110,23,6954,7380
4,120,23,6702,7088
4,130,23,6623,6974
4,140,23,6427,6756
4,150,23,6236,6658
4,160,23,6030,6520
4,170,23,5968,6377
4,180,23,5817,6229
4,190,23,5701,6118
4,200,23,5706,6116
4,210,23,5489,5959
4,220,23,5489,5862
4,230,23,5413,5881
4,240,23,5250,5821
4,250,23,5259,5742
4,260,23,5236,5680
4,270,23,5198,5592
4,280,23,5227,5503
4,290,23,5182,5605
4,300,23,5096,5530
4,310,23,5059,5510
4,320,23,4987,5481
4,330,23,4988,5430
4,340,23,5005,5380
4,350,23,5029,5372
4,360,23,4933,5338
4,370,23,4933,5296
4,380,23,4941,5275
4,390,23,4932,5399
4,400,23,4848,5336
4,410,23,4855,5334
4,420,23,4959,5283
4,430,23,4839,5321
4,440,23,4726,5280
4,450,23,4802,5253
4,460,23,4795,5243
4,470,23,4861,5259
4,480,23,4927,5312
4,490,23,4856,5208
4,500,23,4896,5185
4,510,23,4816,5249
4,520,23,4745,5352
4,530,23,4923,5278
4,540,23,4872,5242
4,550,23,4858,5283
4,560,23,4783,5284
4,570,23,4782,5212
4,580,23,4889,5227
4,590,23,4743,5275
4,600,23,4825,5273
4,610,23,4705,5279
4,620,23,4833,5187
4,630,23,4923,5256
4,640,23,4721,5227
4,650,23,4772,5166
4,660,23,4751,5221
4,670,23,4734,5209
4,680,23,4842,5254
4,690,23,4808,5265
4,700,23,4810,5201
4,710,23,4834,5158
4,720,23,4752,5279
4,730,23,4778,5093
4,740,23,4841,5180
4,750,23,4840,5204
4,760,23,4876,5196
4,770,23,4804,5153
4,780,23,4727,5165
4,790,23,4873,5216
4,800,23,4721,5193
4,810,23,4637,5193
4,820,23,4886,5244
4,830,23,4785,5216
4,840,23,4752,5278
4,850,23,4838,5304
4,860,23,4773,5183
4,870,23,4850,5319
4,880,23,4757,5252
4,890,23,4781,5264
4,900,23,4769,5340
4,910,23,4852,5167
4,920,23,4749,5193
4,930,23,4782,5245
4,940,23,4906,5280
4,950,23,4723,5206
4,960,23,4805,5234
4,970,23,4790,5206
4,980,23,4705,5162
4,990,23,4784,5213
4,1000,23,4735,5207
4,2000,23,4739,5213
4,3000,23,4782,5262
4,4000,23,4769,5243
4,5000,23,4809,5204
4,6000,23,4839,5229
4,7000,23,4755,5273
4,8000,23,4807,5247
4,9000,23,4861,5173
4,10000,23,4788,5211
