m=8, n=8192, q=2053, M0=10000, M1=10000 
m=8, n=8192, q=2053, M0=1000, M1=1000 
m=8, n=8192, q=2063, M0=1000, M1=1000 
m=8, n=8192, q=2069, M0=1000, M1=1000 
m=8, n=8192, q=2081, M0=1000, M1=1000 
m=8, n=8192, q=2083, M0=1000, M1=1000 
m=8, n=8192, q=2087, M0=1000, M1=1000 
m=8, n=8192, q=2089, M0=1000, M1=1000 
m=8, n=8192, q=2099, M0=1000, M1=1000 
m=8, n=8192, q=2111, M0=1000, M1=1000 
m=8, n=8192, q=2113, M0=1000, M1=1000 
m=8, n=8192, q=2129, M0=1000, M1=1000 
m=8, n=8192, q=2131, M0=1000, M1=1000 
m=8, n=8192, q=2137, M0=1000, M1=1000 
m=8, n=8192, q=2141, M0=1000, M1=1000 
m=8, n=8192, q=2143, M0=1000, M1=1000 
m=8, n=8192, q=2153, M0=1000, M1=1000 
m=8, n=8192, q=2161, M0=1000, M1=1000 
m=8, n=8192, q=2179, M0=1000, M1=1000 
m=8, n=8192, q=2203, M0=1000, M1=1000 
m=8, n=8192, q=2207, M0=1000, M1=1000 
m=8, n=8192, q=2213, M0=1000, M1=1000 
m=8, n=8192, q=2221, M0=1000, M1=1000 
m=8, n=8192, q=2237, M0=1000, M1=1000 
m=8, n=8192, q=2239, M0=1000, M1=1000 
m=8, n=8192, q=2243, M0=1000, M1=1000 
m=8, n=8192, q=2251, M0=1000, M1=1000 
m=8, n=8192, q=2267, M0=1000, M1=1000 
m=8, n=8192, q=2269, M0=1000, M1=1000 
m=8, n=8192, q=2273, M0=1000, M1=1000 
m=8, n=8192, q=2281, M0=1000, M1=1000 
