m,n,q,M0,M1
1,12,23,9980,9986
2,12,23,9972,9991
3,12,23,9977,9990
4,12,23,9980,9984
5,12,23,9980,9986
6,12,23,9976,9990
7,12,23,9977,9987
8,12,23,9981,9997
9,12,23,9981,9983
10,12,23,9976,9990
11,12,23,9977,9989
12,12,23,9980,9992
13,12,23,9984,9989
14,12,23,9977,9991
15,12,23,9991,9989
16,12,23,9978,9993
17,12,23,9977,9991
18,12,23,9980,9985
19,12,23,9989,9982
20,12,23,9983,9990
21,12,23,9974,9986
22,12,23,9979,9992
23,12,23,9983,9988
24,12,23,9984,9980
25,12,23,9975,9992
26,12,23,9980,9990
27,12,23,9978,9984
28,12,23,9982,9984
29,12,23,9981,9988
30,12,23,9983,9993
31,12,23,9980,9991
32,12,23,9978,9989
33,12,23,9976,9986
34,12,23,9983,9986
35,12,23,9974,9989
36,12,23,9988,9982
37,12,23,9976,9990
38,12,23,9982,9987
39,12,23,9980,9991
40,12,23,9981,9986
41,12,23,9982,9992
42,12,23,9975,9989
43,12,23,9982,9987
44,12,23,9979,9989
45,12,23,9976,9985
46,12,23,9977,9990
47,12,23,9984,9989
48,12,23,9981,9984
49,12,23,9968,9991
50,12,23,9973,9989
51,12,23,9980,9990
52,12,23,9975,9987
53,12,23,9988,9989
54,12,23,9976,9988
55,12,23,9981,9990
56,12,23,9985,9988
57,12,23,9978,9992
58,12,23,9980,9984
59,12,23,9983,9990
60,12,23,9979,9991
61,12,23,9977,9987
62,12,23,9976,9988
63,12,23,9978,9977
64,12,23,9983,9988
65,12,23,9984,9986
66,12,23,9980,9981
67,12,23,9984,9990
68,12,23,9973,9986
69,12,23,9976,9994
70,12,23,9980,9987
71,12,23,9982,9979
72,12,23,9983,9992
73,12,23,9982,9989
74,12,23,9971,9990
75,12,23,9980,9987
76,12,23,9972,9986
77,12,23,9973,9983
78,12,23,9981,9988
79,12,23,9983,9991
80,12,23,9978,9985
81,12,23,9987,9992
82,12,23,9986,9987
83,12,23,9985,9991
84,12,23,9976,9993
85,12,23,9974,9990
86,12,23,9980,9996
87,12,23,9971,9984
88,12,23,9978,9989
89,12,23,9981,9989
90,12,23,9980,9990
91,12,23,9980,9990
91,12,23,9980,9994
92,12,23,9985,9990
92,12,23,9980,9983
93,12,23,9985,9993
93,12,23,9986,9987
94,12,23,9973,9989
94,12,23,9979,9989
95,12,23,9979,9985
95,12,23,9987,9989
96,12,23,9982,9985
96,12,23,9979,9983
97,12,23,9983,9987
97,12,23,9988,9987
98,12,23,9982,9986
98,12,23,9979,9984
99,12,23,9981,9991
99,12,23,9984,9994
100,12,23,9979,9992
100,12,23,9982,9992
101,12,23,9973,9992
101,12,23,9978,9986
102,12,23,9984,9991
102,12,23,9982,9997
103,12,23,9986,9988
103,12,23,9978,9991
104,12,23,9981,9994
104,12,23,9978,9984
105,12,23,9978,9988
105,12,23,9981,9983
106,12,23,9982,9986
106,12,23,9986,9988
107,12,23,9979,9987
107,12,23,9980,9996
108,12,23,9977,9988
108,12,23,9988,9991
109,12,23,9972,9990
109,12,23,9978,9989
110,12,23,9982,9982
110,12,23,9983,9993
111,12,23,9981,9992
111,12,23,9979,9991
112,12,23,9978,9984
112,12,23,9983,9993
113,12,23,9981,9992
113,12,23,9981,9986
114,12,23,9982,9993
114,12,23,9986,9994
115,12,23,9978,9992
115,12,23,9984,9983
116,12,23,9973,9988
116,12,23,9982,9984
117,12,23,9983,9986
117,12,23,9980,9988
118,12,23,9986,9989
118,12,23,9985,9990
119,12,23,9985,9991
119,12,23,9973,9993
120,12,23,9987,9994
120,12,23,9985,9996
121,12,23,9976,9990
121,12,23,9978,9989
122,12,23,9984,9988
122,12,23,9981,9988
123,12,23,9983,9984
123,12,23,9979,9990
124,12,23,9983,9993
124,12,23,9979,9995
125,12,23,9985,9990
125,12,23,9979,9988
126,12,23,9985,9989
127,12,23,9981,9994
128,12,23,9970,9990
129,12,23,9986,9989
130,12,23,9973,9985
131,12,23,9978,9986
132,12,23,9977,9985
133,12,23,9977,9992
134,12,23,9975,9984
135,12,23,9988,9991
136,12,23,9982,9987
137,12,23,9985,9991
138,12,23,9987,9989
139,12,23,9975,9991
140,12,23,9985,9986
141,12,23,9963,9990
142,12,23,9979,9984
143,12,23,9979,9993
144,12,23,9974,9988
145,12,23,9984,9990
146,12,23,9979,9993
147,12,23,9983,9990
148,12,23,9982,9987
149,12,23,9982,9986
150,12,23,9977,9987
151,12,23,9980,9989
152,12,23,9986,9989
153,12,23,9985,9990
154,12,23,9980,9987
155,12,23,9972,9990
156,12,23,9984,9989
157,12,23,9976,9993
158,12,23,9985,9990
159,12,23,9974,9992
160,12,23,9973,9989
161,12,23,9981,9989
162,12,23,9973,9993
163,12,23,9983,9987
164,12,23,9984,9991
165,12,23,9984,9991
166,12,23,9985,9992
167,12,23,9975,9987
168,12,23,9975,9995
169,12,23,9978,9991
170,12,23,9983,9991
171,12,23,9980,9987
172,12,23,9979,9986
173,12,23,9979,9985
174,12,23,9984,9990
175,12,23,9979,9994
176,12,23,9982,9986
177,12,23,9970,9993
178,12,23,9984,9992
179,12,23,9984,9987
180,12,23,9978,9986
181,12,23,9975,9982
182,12,23,9979,9988
183,12,23,9976,9992
184,12,23,9981,9991
185,12,23,9984,9987
186,12,23,9981,9994
187,12,23,9980,9994
188,12,23,9975,9992
189,12,23,9984,9992
190,12,23,9984,9993
191,12,23,9979,9990
192,12,23,9981,9988
193,12,23,9983,9989
194,12,23,9973,9988
195,12,23,9985,9984
196,12,23,9977,9991
197,12,23,9981,9988
198,12,23,9979,9987
199,12,23,9981,9987
200,12,23,9978,9986
201,12,23,9981,9986
202,12,23,9979,9988
203,12,23,9978,9989
204,12,23,9985,9990
205,12,23,9974,9990
206,12,23,9976,9997
207,12,23,9977,9990
208,12,23,9987,9984
209,12,23,9983,9989
210,12,23,9973,9990
211,12,23,9979,9989
212,12,23,9975,9987
213,12,23,9986,9986
214,12,23,9979,9994
215,12,23,9970,9995
216,12,23,9984,9990
217,12,23,9975,9992
218,12,23,9984,9984
219,12,23,9983,9985
220,12,23,9980,9990
221,12,23,9981,9994
222,12,23,9975,9988
223,12,23,9979,9986
224,12,23,9980,9985
225,12,23,9980,9990
226,12,23,9973,9992
227,12,23,9986,9988
227,12,23,9979,9989
228,12,23,9980,9985
228,12,23,9979,9995
229,12,23,9983,9990
229,12,23,9976,9985
230,12,23,9983,9991
230,12,23,9976,9993
231,12,23,9974,9989
231,12,23,9981,9985
232,12,23,9984,9989
232,12,23,9976,9983
233,12,23,9984,9990
233,12,23,9986,9989
234,12,23,9977,9987
234,12,23,9971,9992
235,12,23,9976,9989
235,12,23,9985,9989
236,12,23,9980,9990
236,12,23,9982,9992
237,12,23,9984,9989
237,12,23,9977,9988
238,12,23,9979,9984
238,12,23,9969,9978
239,12,23,9986,9980
239,12,23,9978,9980
240,12,23,9982,9992
240,12,23,9977,9985
241,12,23,9983,9987
241,12,23,9977,9985
242,12,23,9971,9988
242,12,23,9982,9983
243,12,23,9986,9992
243,12,23,9975,9986
244,12,23,9980,9991
244,12,23,9981,9993
245,12,23,9984,9993
245,12,23,9979,9992
246,12,23,9982,9989
246,12,23,9977,9985
247,12,23,9980,9990
247,12,23,9980,9984
248,12,23,9989,9986
248,12,23,9983,9993
249,12,23,9985,9992
249,12,23,9978,9990
250,12,23,9987,9989
250,12,23,9986,9988
251,12,23,9980,9986
252,12,23,9979,9986
253,12,23,9977,9997
254,12,23,9983,9989
255,12,23,9978,9986
