m=20, n=12, q=23, M0=9972, M1=9990 
m=10, n=12, q=23, M0=9984, M1=9990 
m=40, n=12, q=23, M0=9978, M1=9988 
m=30, n=12, q=23, M0=9984, M1=9981 
m=50, n=12, q=23, M0=9973, M1=9989 
m=70, n=12, q=23, M0=9984, M1=9991 
m=60, n=12, q=23, M0=9981, M1=9990 
m=80, n=12, q=23, M0=9980, M1=9989 
m=90, n=12, q=23, M0=9979, M1=9990 
m=100, n=12, q=23, M0=9981, M1=9990 
m=200, n=12, q=23, M0=9977, M1=9992 
m=300, n=12, q=23, M0=9979, M1=9991 
m=400, n=12, q=23, M0=9978, M1=9995 
m=500, n=12, q=23, M0=9982, M1=9988 
m=600, n=12, q=23, M0=9975, M1=9986 
m=700, n=12, q=23, M0=9979, M1=9994 
m=800, n=12, q=23, M0=9976, M1=9990 
m=900, n=12, q=23, M0=9973, M1=9986 
m=1000, n=12, q=23, M0=9986, M1=9983 
m=2000, n=12, q=23, M0=9985, M1=9986 
m=3000, n=12, q=23, M0=9975, M1=9995 
m=4000, n=12, q=23, M0=9981, M1=9990 
m=5000, n=12, q=23, M0=9985, M1=9991 
m=6000, n=12, q=23, M0=9979, M1=9989 
m=7000, n=12, q=23, M0=9981, M1=9986 
m=8000, n=12, q=23, M0=9979, M1=9993 
m=9000, n=12, q=23, M0=9980, M1=9989 
m=10000, n=12, q=23, M0=9984, M1=9988 
