m=125, n=12, q=23, M0=9985, M1=9990 
m=250, n=12, q=23, M0=9987, M1=9989 
m=375, n=12, q=23, M0=9980, M1=9985 
m=124, n=12, q=23, M0=9983, M1=9993 
m=500, n=12, q=23, M0=9984, M1=9982 
m=249, n=12, q=23, M0=9985, M1=9992 
m=123, n=12, q=23, M0=9983, M1=9984 
m=374, n=12, q=23, M0=9983, M1=9983 
m=122, n=12, q=23, M0=9984, M1=9988 
m=248, n=12, q=23, M0=9989, M1=9986 
m=499, n=12, q=23, M0=9977, M1=9990 
m=121, n=12, q=23, M0=9976, M1=9990 
m=373, n=12, q=23, M0=9981, M1=9983 
m=247, n=12, q=23, M0=9980, M1=9990 
m=120, n=12, q=23, M0=9987, M1=9994 
m=498, n=12, q=23, M0=9976, M1=9991 
m=119, n=12, q=23, M0=9985, M1=9991 
m=246, n=12, q=23, M0=9982, M1=9989 
m=372, n=12, q=23, M0=9987, M1=9995 
m=118, n=12, q=23, M0=9986, M1=9989 
m=245, n=12, q=23, M0=9984, M1=9993 
m=497, n=12, q=23, M0=9985, M1=9986 
m=117, n=12, q=23, M0=9983, M1=9986 
m=371, n=12, q=23, M0=9982, M1=9993 
m=244, n=12, q=23, M0=9980, M1=9991 
m=116, n=12, q=23, M0=9973, M1=9988 
m=370, n=12, q=23, M0=9988, M1=9990 
m=496, n=12, q=23, M0=9978, M1=9989 
m=115, n=12, q=23, M0=9978, M1=9992 
m=243, n=12, q=23, M0=9986, M1=9992 
m=114, n=12, q=23, M0=9982, M1=9993 
m=242, n=12, q=23, M0=9971, M1=9988 
m=369, n=12, q=23, M0=9975, M1=9990 
m=113, n=12, q=23, M0=9981, M1=9992 
m=495, n=12, q=23, M0=9980, M1=9993 
m=112, n=12, q=23, M0=9978, M1=9984 
m=241, n=12, q=23, M0=9983, M1=9987 
m=368, n=12, q=23, M0=9975, M1=9992 
m=111, n=12, q=23, M0=9981, M1=9992 
m=494, n=12, q=23, M0=9984, M1=9989 
m=240, n=12, q=23, M0=9982, M1=9992 
m=110, n=12, q=23, M0=9982, M1=9982 
m=367, n=12, q=23, M0=9981, M1=9989 
m=239, n=12, q=23, M0=9986, M1=9980 
m=109, n=12, q=23, M0=9972, M1=9990 
m=493, n=12, q=23, M0=9974, M1=9986 
m=108, n=12, q=23, M0=9977, M1=9988 
m=238, n=12, q=23, M0=9979, M1=9984 
m=366, n=12, q=23, M0=9977, M1=9991 
m=107, n=12, q=23, M0=9979, M1=9987 
m=237, n=12, q=23, M0=9984, M1=9989 
m=492, n=12, q=23, M0=9988, M1=9992 
m=106, n=12, q=23, M0=9982, M1=9986 
m=365, n=12, q=23, M0=9973, M1=9989 
m=105, n=12, q=23, M0=9978, M1=9988 
m=236, n=12, q=23, M0=9980, M1=9990 
m=104, n=12, q=23, M0=9981, M1=9994 
m=364, n=12, q=23, M0=9981, M1=9985 
m=491, n=12, q=23, M0=9971, M1=9988 
m=235, n=12, q=23, M0=9976, M1=9989 
m=103, n=12, q=23, M0=9986, M1=9988 
m=102, n=12, q=23, M0=9984, M1=9991 
m=363, n=12, q=23, M0=9982, M1=9983 
m=234, n=12, q=23, M0=9977, M1=9987 
m=490, n=12, q=23, M0=9981, M1=9998 
m=101, n=12, q=23, M0=9973, M1=9992 
m=233, n=12, q=23, M0=9984, M1=9990 
m=100, n=12, q=23, M0=9979, M1=9992 
m=362, n=12, q=23, M0=9976, M1=9991 
m=99, n=12, q=23, M0=9981, M1=9991 
m=489, n=12, q=23, M0=9981, M1=9990 
m=232, n=12, q=23, M0=9984, M1=9989 
m=361, n=12, q=23, M0=9979, M1=9983 
m=98, n=12, q=23, M0=9982, M1=9986 
m=231, n=12, q=23, M0=9974, M1=9989 
m=97, n=12, q=23, M0=9983, M1=9987 
m=488, n=12, q=23, M0=9987, M1=9989 
m=360, n=12, q=23, M0=9985, M1=9981 
m=96, n=12, q=23, M0=9982, M1=9985 
m=230, n=12, q=23, M0=9983, M1=9991 
m=95, n=12, q=23, M0=9979, M1=9985 
m=229, n=12, q=23, M0=9983, M1=9990 
m=487, n=12, q=23, M0=9980, M1=9986 
m=359, n=12, q=23, M0=9983, M1=9984 
m=94, n=12, q=23, M0=9973, M1=9989 
m=93, n=12, q=23, M0=9985, M1=9993 
m=228, n=12, q=23, M0=9980, M1=9985 
m=92, n=12, q=23, M0=9985, M1=9990 
m=358, n=12, q=23, M0=9976, M1=9995 
m=486, n=12, q=23, M0=9978, M1=9990 
m=227, n=12, q=23, M0=9986, M1=9988 
m=91, n=12, q=23, M0=9980, M1=9990 
m=3333, n=12, q=23, M0=99800, M1=99881 
m=1664, n=12, q=23, M0=99828, M1=99883 
m=63, n=12, q=23, M0=9978, M1=9977 
m=126, n=12, q=23, M0=9985, M1=9989 
m=189, n=12, q=23, M0=9984, M1=9992 
m=252, n=12, q=23, M0=9979, M1=9986 
m=315, n=12, q=23, M0=9981, M1=9987 
m=62, n=12, q=23, M0=9976, M1=9988 
m=378, n=12, q=23, M0=9982, M1=9990 
m=441, n=12, q=23, M0=9981, M1=9985 
m=125, n=12, q=23, M0=9979, M1=9988 
m=504, n=12, q=23, M0=9986, M1=9987 
m=188, n=12, q=23, M0=9975, M1=9992 
m=61, n=12, q=23, M0=9977, M1=9987 
m=251, n=12, q=23, M0=9980, M1=9986 
m=124, n=12, q=23, M0=9979, M1=9995 
m=314, n=12, q=23, M0=9977, M1=9989 
m=60, n=12, q=23, M0=9979, M1=9991 
m=377, n=12, q=23, M0=9984, M1=9989 
m=187, n=12, q=23, M0=9980, M1=9994 
m=123, n=12, q=23, M0=9979, M1=9990 
m=440, n=12, q=23, M0=9983, M1=9993 
m=59, n=12, q=23, M0=9983, M1=9990 
m=250, n=12, q=23, M0=9986, M1=9988 
m=503, n=12, q=23, M0=9981, M1=9993 
m=122, n=12, q=23, M0=9981, M1=9988 
m=313, n=12, q=23, M0=9981, M1=9987 
m=58, n=12, q=23, M0=9980, M1=9984 
m=186, n=12, q=23, M0=9981, M1=9994 
m=376, n=12, q=23, M0=9986, M1=9994 
m=57, n=12, q=23, M0=9978, M1=9992 
m=249, n=12, q=23, M0=9978, M1=9990 
m=121, n=12, q=23, M0=9978, M1=9989 
m=439, n=12, q=23, M0=9976, M1=9980 
m=185, n=12, q=23, M0=9984, M1=9987 
m=56, n=12, q=23, M0=9985, M1=9988 
m=312, n=12, q=23, M0=9973, M1=9990 
m=502, n=12, q=23, M0=9985, M1=9993 
m=120, n=12, q=23, M0=9985, M1=9996 
m=248, n=12, q=23, M0=9983, M1=9993 
m=55, n=12, q=23, M0=9981, M1=9990 
m=375, n=12, q=23, M0=9974, M1=9986 
m=184, n=12, q=23, M0=9981, M1=9991 
m=119, n=12, q=23, M0=9973, M1=9993 
m=438, n=12, q=23, M0=9980, M1=9990 
m=54, n=12, q=23, M0=9976, M1=9988 
m=311, n=12, q=23, M0=9977, M1=9990 
m=247, n=12, q=23, M0=9980, M1=9984 
m=183, n=12, q=23, M0=9976, M1=9992 
m=501, n=12, q=23, M0=9976, M1=9984 
m=53, n=12, q=23, M0=9988, M1=9989 
m=118, n=12, q=23, M0=9985, M1=9990 
m=374, n=12, q=23, M0=9969, M1=9986 
m=52, n=12, q=23, M0=9975, M1=9987 
m=310, n=12, q=23, M0=9979, M1=9989 
m=117, n=12, q=23, M0=9980, M1=9988 
m=246, n=12, q=23, M0=9977, M1=9985 
m=437, n=12, q=23, M0=9982, M1=9987 
m=182, n=12, q=23, M0=9979, M1=9988 
m=51, n=12, q=23, M0=9980, M1=9990 
m=500, n=12, q=23, M0=9970, M1=9984 
m=373, n=12, q=23, M0=9977, M1=9987 
m=116, n=12, q=23, M0=9982, M1=9984 
m=50, n=12, q=23, M0=9973, M1=9989 
m=181, n=12, q=23, M0=9975, M1=9982 
m=245, n=12, q=23, M0=9979, M1=9992 
m=309, n=12, q=23, M0=9977, M1=9989 
m=49, n=12, q=23, M0=9968, M1=9991 
m=115, n=12, q=23, M0=9984, M1=9983 
m=436, n=12, q=23, M0=9977, M1=9991 
m=180, n=12, q=23, M0=9978, M1=9986 
m=48, n=12, q=23, M0=9981, M1=9984 
m=372, n=12, q=23, M0=9976, M1=9992 
m=244, n=12, q=23, M0=9981, M1=9993 
m=114, n=12, q=23, M0=9986, M1=9994 
m=308, n=12, q=23, M0=9980, M1=9984 
m=499, n=12, q=23, M0=9984, M1=9992 
m=47, n=12, q=23, M0=9984, M1=9989 
m=179, n=12, q=23, M0=9984, M1=9987 
m=113, n=12, q=23, M0=9981, M1=9986 
m=46, n=12, q=23, M0=9977, M1=9990 
m=435, n=12, q=23, M0=9982, M1=9991 
m=243, n=12, q=23, M0=9975, M1=9986 
m=371, n=12, q=23, M0=9980, M1=9988 
m=307, n=12, q=23, M0=9980, M1=9989 
m=45, n=12, q=23, M0=9976, M1=9985 
m=112, n=12, q=23, M0=9983, M1=9993 
m=178, n=12, q=23, M0=9984, M1=9992 
m=498, n=12, q=23, M0=9972, M1=9987 
m=44, n=12, q=23, M0=9979, M1=9989 
m=111, n=12, q=23, M0=9979, M1=9991 
m=242, n=12, q=23, M0=9982, M1=9983 
m=177, n=12, q=23, M0=9970, M1=9993 
m=434, n=12, q=23, M0=9981, M1=9992 
m=43, n=12, q=23, M0=9982, M1=9987 
m=306, n=12, q=23, M0=9983, M1=9991 
m=370, n=12, q=23, M0=9980, M1=9991 
m=110, n=12, q=23, M0=9983, M1=9993 
m=42, n=12, q=23, M0=9975, M1=9989 
m=241, n=12, q=23, M0=9977, M1=9985 
m=176, n=12, q=23, M0=9982, M1=9986 
m=497, n=12, q=23, M0=9979, M1=9992 
m=109, n=12, q=23, M0=9978, M1=9989 
m=41, n=12, q=23, M0=9982, M1=9992 
m=305, n=12, q=23, M0=9983, M1=9988 
m=369, n=12, q=23, M0=9983, M1=9994 
m=433, n=12, q=23, M0=9984, M1=9983 
m=175, n=12, q=23, M0=9979, M1=9994 
m=40, n=12, q=23, M0=9981, M1=9986 
m=108, n=12, q=23, M0=9988, M1=9991 
m=240, n=12, q=23, M0=9977, M1=9985 
m=39, n=12, q=23, M0=9980, M1=9991 
m=304, n=12, q=23, M0=9983, M1=9983 
m=107, n=12, q=23, M0=9980, M1=9996 
m=174, n=12, q=23, M0=9984, M1=9990 
m=496, n=12, q=23, M0=9986, M1=9993 
m=368, n=12, q=23, M0=9985, M1=9987 
m=38, n=12, q=23, M0=9982, M1=9987 
m=239, n=12, q=23, M0=9978, M1=9980 
m=432, n=12, q=23, M0=9981, M1=9992 
m=106, n=12, q=23, M0=9986, M1=9988 
m=37, n=12, q=23, M0=9976, M1=9990 
m=173, n=12, q=23, M0=9979, M1=9985 
m=303, n=12, q=23, M0=9986, M1=9990 
m=105, n=12, q=23, M0=9981, M1=9983 
m=36, n=12, q=23, M0=9988, M1=9982 
m=238, n=12, q=23, M0=9969, M1=9978 
m=367, n=12, q=23, M0=9981, M1=9992 
m=495, n=12, q=23, M0=9980, M1=9993 
m=172, n=12, q=23, M0=9979, M1=9986 
m=431, n=12, q=23, M0=9976, M1=9989 
m=35, n=12, q=23, M0=9974, M1=9989 
m=104, n=12, q=23, M0=9978, M1=9984 
m=302, n=12, q=23, M0=9983, M1=9983 
m=237, n=12, q=23, M0=9977, M1=9988 
m=34, n=12, q=23, M0=9983, M1=9986 
m=171, n=12, q=23, M0=9980, M1=9987 
m=103, n=12, q=23, M0=9978, M1=9991 
m=366, n=12, q=23, M0=9982, M1=9988 
m=33, n=12, q=23, M0=9976, M1=9986 
m=301, n=12, q=23, M0=9984, M1=9993 
m=430, n=12, q=23, M0=9978, M1=9989 
m=494, n=12, q=23, M0=9983, M1=9988 
m=236, n=12, q=23, M0=9982, M1=9992 
m=102, n=12, q=23, M0=9982, M1=9997 
m=32, n=12, q=23, M0=9978, M1=9989 
m=170, n=12, q=23, M0=9983, M1=9991 
m=365, n=12, q=23, M0=9975, M1=9984 
m=101, n=12, q=23, M0=9978, M1=9986 
m=31, n=12, q=23, M0=9980, M1=9991 
m=235, n=12, q=23, M0=9985, M1=9989 
m=169, n=12, q=23, M0=9978, M1=9991 
m=300, n=12, q=23, M0=9978, M1=9985 
m=30, n=12, q=23, M0=9983, M1=9993 
m=100, n=12, q=23, M0=9982, M1=9992 
m=429, n=12, q=23, M0=9976, M1=9985 
m=493, n=12, q=23, M0=9981, M1=9984 
m=29, n=12, q=23, M0=9981, M1=9988 
m=168, n=12, q=23, M0=9975, M1=9995 
m=364, n=12, q=23, M0=9982, M1=9986 
m=99, n=12, q=23, M0=9984, M1=9994 
m=234, n=12, q=23, M0=9971, M1=9992 
m=299, n=12, q=23, M0=9983, M1=9989 
m=28, n=12, q=23, M0=9982, M1=9984 
m=98, n=12, q=23, M0=9979, M1=9984 
m=167, n=12, q=23, M0=9975, M1=9987 
m=428, n=12, q=23, M0=9986, M1=9988 
m=27, n=12, q=23, M0=9978, M1=9984 
m=233, n=12, q=23, M0=9986, M1=9989 
m=492, n=12, q=23, M0=9978, M1=9989 
m=363, n=12, q=23, M0=9977, M1=9988 
m=97, n=12, q=23, M0=9988, M1=9987 
m=298, n=12, q=23, M0=9980, M1=9986 
m=26, n=12, q=23, M0=9980, M1=9990 
m=166, n=12, q=23, M0=9985, M1=9992 
m=25, n=12, q=23, M0=9975, M1=9992 
m=232, n=12, q=23, M0=9976, M1=9983 
m=96, n=12, q=23, M0=9979, M1=9983 
m=427, n=12, q=23, M0=9987, M1=9991 
m=165, n=12, q=23, M0=9984, M1=9991 
m=24, n=12, q=23, M0=9984, M1=9980 
m=362, n=12, q=23, M0=9977, M1=9986 
m=297, n=12, q=23, M0=9977, M1=9991 
m=95, n=12, q=23, M0=9987, M1=9989 
m=491, n=12, q=23, M0=9975, M1=9991 
m=23, n=12, q=23, M0=9983, M1=9988 
m=231, n=12, q=23, M0=9981, M1=9985 
m=164, n=12, q=23, M0=9984, M1=9991 
m=94, n=12, q=23, M0=9979, M1=9989 
m=22, n=12, q=23, M0=9979, M1=9992 
m=296, n=12, q=23, M0=9977, M1=9994 
m=361, n=12, q=23, M0=9979, M1=9991 
m=426, n=12, q=23, M0=9988, M1=9990 
m=21, n=12, q=23, M0=9974, M1=9986 
m=93, n=12, q=23, M0=9986, M1=9987 
m=230, n=12, q=23, M0=9976, M1=9993 
m=163, n=12, q=23, M0=9983, M1=9987 
m=490, n=12, q=23, M0=9975, M1=9990 
m=20, n=12, q=23, M0=9983, M1=9990 
m=92, n=12, q=23, M0=9980, M1=9983 
m=295, n=12, q=23, M0=9980, M1=9992 
m=162, n=12, q=23, M0=9973, M1=9993 
m=229, n=12, q=23, M0=9976, M1=9985 
m=19, n=12, q=23, M0=9989, M1=9982 
m=360, n=12, q=23, M0=9978, M1=9991 
m=425, n=12, q=23, M0=9978, M1=9994 
m=91, n=12, q=23, M0=9980, M1=9994 
m=18, n=12, q=23, M0=9980, M1=9985 
m=161, n=12, q=23, M0=9981, M1=9989 
m=489, n=12, q=23, M0=9981, M1=9988 
m=228, n=12, q=23, M0=9979, M1=9995 
m=90, n=12, q=23, M0=9980, M1=9990 
m=17, n=12, q=23, M0=9977, M1=9991 
m=294, n=12, q=23, M0=9985, M1=9993 
m=359, n=12, q=23, M0=9974, M1=9982 
m=16, n=12, q=23, M0=9978, M1=9993 
m=160, n=12, q=23, M0=9973, M1=9989 
m=89, n=12, q=23, M0=9981, M1=9989 
m=424, n=12, q=23, M0=9979, M1=9992 
m=227, n=12, q=23, M0=9979, M1=9989 
m=15, n=12, q=23, M0=9991, M1=9989 
m=293, n=12, q=23, M0=9977, M1=9989 
m=88, n=12, q=23, M0=9978, M1=9989 
